Name,Documentation,Environment
Stripe,https://stripe.com/docs,"dev, production"
Paddle,https://paddle.com/docs/introduction/,"dev, production"
Paypal,https://developer.paypal.com/docs/api/overview/,"dev, production"
Square,https://developer.squareup.com/docs/,"dev, production"
