Name,Property,URL
Todo App - VanillaJS,vanilla js,https://github.com/themaxsandelin/todo
Building a loading screen,vanilla js,https://www.freecodecamp.org/news/how-to-build-a-delightful-loading-screen-in-5-minutes-847991da509f/
Form Validation,vanilla js,https://www.youtube.com/watch?v=In0nB0ABaUk
