Name,Doc,Repository
Framer,https://www.framer.com/api/motion/,
react-spring,https://www.react-spring.io/,
Granim.js,https://sarcadass.github.io/granim.js/,https://github.com/sarcadass/granim.js
SlickJS,https://kenwheeler.github.io/slick/,https://github.com/kenwheeler/slick/
Intro Template,,
