Name,Doc,Repository,Twitter
Redux,https://reactjs.org/,https://github.com/facebook/react,https://twitter.com/reactjs
Vuex,https://vuex.vuejs.org/,https://github.com/vuejs/vuex,
Recoil,https://recoiljs.org/docs/introduction/installation,https://github.com/facebookexperimental/Recoil,
Xstate,https://xstate.js.org/docs,https://github.com/davidkpiano/xstate,
Quote,,,
